text,label
"Whatever is in this course: https://zerotomastery.io/courses/learn-data-structures-and-algorithms/",0
"I found this video of someone building a real startup and it really motivated me to do something real. If you are one who thinks, he has the potential of building, they should definitely checkout https://www.youtube.com/watch?v=P6icW1I48uw",0
"https://levels.io/how-i-build-my-minimum-viable-products/ This is a freaking great read Truly macbook unlocks many opportunities faster for tech aspirants and professionals than a gaming laptop ever will",0
"Here is their patent list to kinda forcast what's going to come but I see that their most recent patent was in 2024. https://originality.ai/blog/openai-patent-list",0
"Hello everyone, could anyone tell me how to ask people to endorse my LinkedIn skills? I would appreciate that well this is my page 🙂  : https://www.linkedin.com/in/fdgdfgs/",0
"do you have a organization created in your OpenAI account? if so, this could be the issue https://github.com/openai/codex/issues/1953",0
"On the subject of pattern matching ... https://apnews.com/article/ai-school-surveillance-gaggle-goguardian-bark-8c531cde8f9aee0b1ef06cfce109724a",0
"Vim keybinds. There is a Vim extension you can use in VSCode that provides Vim keybind emulation. This way you don't need to go full-on terminal. Note: We have a byte course on this topic https://zerotomastery.io/courses/learn-neovim-and-vim/",0
"We actually have a lot of content on that.. just check out the build with AI category here: https://zerotomastery.io/courses/",0
"This is a good thread to read this morning: https://news.ycombinator.com/item?id=44789068",0
"Here's the link for the document: https://docs.google.com/document/d/xyz",0
"Join our meeting using this link -> https://zoom.us/j/123456789",0
"Event registration: https://www.eventbrite.com/e/summer-festival-tickets-123456",0
"Come play Smash Karts  Room: in685360  https://smashkarts.io/link/?mode=67109640&room=in685360&arena=spacestations Arena: Space Stations Rules: Free For All - 3 Mins",0
"Onlyfans leaks https://discord.gg/girls18 @everyone",1
"50$ From steam [steamcommunity.com/gift/7656685934763976](https://u.to/Iwa7IA) @everyone",1
"Guys quickly join to the game room: https://www.krunker.io/ivhgasq",0
"GTA VI trailer 2 just came out, watch: https://youtu.be/VQRLujxTm3c",0
"I'm giving free 100USD each. DM me for money",1
"Here’s the Google Doc for our project plan: https://docs.google.com/document/d/abcdef123456",0
"Free CS2 skin give away. Get your skin now: https://www.steemcommunity.me/skins",1
"Here is GitHub repo link, start your part ASAP. https://www.github.com/roshana1s/spam-message-classifier",0
"Lol this meme is out of this world. https://www.youtube.com/watch?v=Wdsfk24kw",0
"https://www.facebook.com/huysa.dfse guys this is my fb account, send me fr",0
"https://vt.tiktok.com/ZSSv14U95/ is dat not big deal there is only sound",0
"Hey, check out this cool game at https://smashkarts.io",0
"Join us for tonight's trivia challenge at https://kahoot.it",0
"Can you try this puzzle site? https://puzzlehunt.com",0
"Let’s play a quick match here: https://chess.com/play",0
"Check this music playlist I made: https://spotify.com/playlist/12345",0
"Join the study group here: https://zoom.us/j/123456789",0
"Play the new level at https://geometrydash.com/level/5678",0
"Here’s our shared doc for the project: https://docs.google.com/document/d/abc123",0
"Watch this live stream at https://twitch.tv/gamestreamer",0
"https://agar.io Try beating my score here",0
"New CS:GO patch notes released! Read here: https://blog.counter-strike.net/patchnotes",0
"Join our casual Valorant night, details here: https://discord.gg/gamers",0
"Download the latest Minecraft snapshot at https://minecraft.net/download",0
"Here's the leaderboard for last week's tournament: https://mygame.com/leaderboard",0
"Register for the weekend gaming event here: https://eventbrite.com/e/gameweekend",0
"Download Minecraft for absolute FREE! get now (limited offer) : https://minecraaft.net/download",1






